employee_id,name,hire_date,exit_date,status,department,role_family,role_level,job_title,salary,compa_ratio,gender,age_band,cultural_background,contract_type,hipo_flag,promotion_eligible,manager_id,hire_source,legacy_entity_code,data_source_system,days_to_fill,tenure_months,acting_appointment
E00042,Morgan Brown,1988-02-26,,active,Corporate Operations,Risk-Compliance,2,"Manager, Corporate Operations",140300.0,0.97,Female,60+,Anglo-Australian,Part-time,False,False,E02271,agency,NovaCorp-Origin,WorkdayHR,48.0,460,False
E00043,Taylor Tran,1988-02-28,,active,Wealth Management,Operations-Processing,2,"Manager, Wealth Management",117500.0,0.81,Female,60+,Southeast Asian,Full-time,False,False,E11265,agency,NovaCorp-Origin,WorkdayHR,71.0,460,False
E00044,Cheryl Wilson,1988-02-29,,active,Insurance,Management,2,"Manager, Insurance",128500.0,0.89,Female,60+,East Asian,Full-time,False,False,E11909,agency,NovaCorp-Origin,WorkdayHR,75.0,460,False
E00045,Jeffery Cruz,1988-03-02,,active,Retail Banking,Management,2,"Manager, Retail Banking",130400.0,0.9,Male,55-59,Anglo-Australian,Full-time,False,False,E13190,direct,NovaCorp-Origin,WorkdayHR,14.0,460,False
E00046,John Simmons,1988-03-03,2025-04-29,departed,Corporate Operations,Risk-Compliance,2,"Manager, Corporate Operations",127800.0,0.88,Prefer not to say,60+,East Asian,Full-time,False,False,E10271,referral,NovaCorp-Origin,WorkdayHR,89.0,452,False
E00049,Haley Cobb,1988-03-10,,active,Technology,Operations-Processing,3,"Senior Manager, Technology",191700.0,0.91,Female,60+,Anglo-Australian,Full-time,False,True,E13189,direct,NovaCorp-Origin,WorkdayHR,56.0,460,False
E00050,Theodore Rodriguez,1988-03-11,,active,Risk & Compliance,Corporate-Support,2,"Manager, Risk & Compliance",134300.0,0.93,Male,60+,South Asian,Part-time,True,True,E12593,graduate,NovaCorp-Origin,WorkdayHR,28.0,460,False
E00051,Sandra Kramer,1988-03-13,,active,Retail Banking,Client-Advisory,2,"Manager, Retail Banking",133000.0,0.92,Female,60+,Southeast Asian,Full-time,False,True,E12215,agency,NovaCorp-Origin,WorkdayHR,29.0,460,False
E00052,Mrs. Julia Matthews,1988-03-19,,active,Insurance,Risk-Compliance,2,"Manager, Insurance",127400.0,0.88,Female,55-59,Anglo-Australian,Part-time,False,False,E04479,referral,NovaCorp-Origin,WorkdayHR,81.0,460,False
E00053,Regina Burns,1988-03-21,2024-05-01,departed,Risk & Compliance,Risk-Compliance,2,"Manager, Risk & Compliance",132700.0,0.92,Female,55-59,Anglo-Australian,Full-time,False,True,E00523,agency,NovaCorp-Origin,WorkdayHR,17.0,439,False
E00054,Allen Perez,1988-03-24,,active,Technology,Corporate-Support,2,"Manager, Technology",122900.0,0.85,Male,55-59,Middle Eastern,Full-time,True,False,E02790,agency,NovaCorp-Origin,WorkdayHR,72.0,459,False
E00055,Marc Mcdonald,1988-03-25,,active,Corporate Operations,Management,2,"Manager, Corporate Operations",115400.0,0.8,Male,60+,European (non-Anglo),Full-time,False,False,E01159,direct,NovaCorp-Origin,WorkdayHR,83.0,459,False
E00057,Cody Chase,1988-03-26,,active,Risk & Compliance,Client-Advisory,2,"Manager, Risk & Compliance",135000.0,0.93,Male,60+,Anglo-Australian,Full-time,False,False,E12466,referral,NovaCorp-Origin,WorkdayHR,57.0,459,False
E00058,Bruce Brown,1988-03-28,,active,Retail Banking,Risk-Compliance,3,"Senior Manager, Retail Banking",185100.0,0.93,Male,60+,South Asian,Full-time,False,True,E04121,referral,NovaCorp-Origin,WorkdayHR,20.0,459,False
E00059,Molly Ramsey,1988-03-30,,active,Risk & Compliance,Risk-Compliance,2,"Manager, Risk & Compliance",118500.0,0.82,Female,55-59,Anglo-Australian,Part-time,False,False,E04760,direct,NovaCorp-Origin,WorkdayHR,83.0,459,False
E00060,Dean Padilla,1988-03-30,,active,Technology,Technology,2,"Manager, Technology",123800.0,0.85,Male,60+,South Asian,Full-time,False,False,E09472,agency,NovaCorp-Origin,WorkdayHR,31.0,459,False
E00061,Kendra Mayer,1988-03-31,,active,Wealth Management,Technology,2,"Manager, Wealth Management",128700.0,0.89,Female,55-59,Anglo-Australian,Full-time,False,False,E05073,direct,NovaCorp-Origin,WorkdayHR,71.0,459,False
E00064,Kara Rogers,1988-04-03,,active,Risk & Compliance,Operations-Processing,2,"Manager, Risk & Compliance",130000.0,0.9,Female,60+,Southeast Asian,Full-time,False,False,E12358,direct,NovaCorp-Origin,WorkdayHR,63.0,459,False
E00065,Gregory Martinez,1988-04-03,,active,Technology,Operations-Processing,2,"Manager, Technology",142000.0,0.98,Male,55-59,Prefer not to say,Full-time,False,False,E13598,direct,NovaCorp-Origin,WorkdayHR,90.0,459,False
E00066,Sharon Ross,1988-04-04,,active,Risk & Compliance,Corporate-Support,2,"Manager, Risk & Compliance",132500.0,0.91,Female,60+,Anglo-Australian,Part-time,False,True,E08970,graduate,NovaCorp-Origin,WorkdayHR,40.0,459,False
E00067,Casey Campbell,1988-04-04,,active,Technology,Client-Advisory,3,"Senior Manager, Technology",174100.0,0.87,Male,55-59,Anglo-Australian,Full-time,False,False,E00645,direct,NovaCorp-Origin,WorkdayHR,34.0,459,False
E00068,Meagan Boyd,1988-04-10,,active,Retail Banking,Operations-Processing,2,"Manager, Retail Banking",121300.0,0.84,Female,60+,East Asian,Part-time,False,False,E01379,referral,NovaCorp-Origin,WorkdayHR,55.0,459,False
E00069,Jennifer Martin,1988-04-12,,active,Retail Banking,Management,2,"Manager, Retail Banking",139100.0,0.96,Non-binary,60+,East Asian,Casual,False,False,E13469,direct,NovaCorp-Origin,WorkdayHR,83.0,459,False
E00070,Daniel Sullivan,1988-04-16,,active,Retail Banking,Operations-Processing,3,"Senior Manager, Retail Banking",178300.0,0.89,Non-binary,60+,South Asian,Full-time,False,True,E00073,agency,NovaCorp-Origin,WorkdayHR,14.0,459,False
E00071,Christian Heath,1988-04-16,2024-09-30,departed,Technology,Risk-Compliance,2,"Manager, Technology",123400.0,0.85,Male,60+,Maori/Aboriginal & Torres Strait Islander,Full-time,False,False,E04453,agency,NovaCorp-Origin,WorkdayHR,69.0,443,False
E00072,Philip Gilmore,1988-04-17,2025-05-18,departed,Technology,Technology,2,"Manager, Technology",132800.0,0.92,Non-binary,60+,Anglo-Australian,Casual,False,True,E01982,agency,NovaCorp-Origin,WorkdayHR,70.0,451,False
E00073,Zachary Smith,1988-04-19,,active,Retail Banking,Risk-Compliance,4,"Director, Retail Banking",321200.0,1.03,Male,60+,Anglo-Australian,Full-time,False,True,E07091,agency,NovaCorp-Origin,WorkdayHR,30.0,459,False
E00074,Tracey Franklin,1988-04-21,2025-08-29,departed,Corporate Operations,Operations-Processing,2,"Manager, Corporate Operations",130700.0,0.9,Female,55-59,Anglo-Australian,Part-time,False,True,E01790,graduate,NovaCorp-Origin,WorkdayHR,78.0,454,False
E00075,Caitlin Gonzalez,1988-04-23,,active,Technology,Operations-Processing,5,Managing Director,492600.0,0.88,Female,60+,Anglo-Australian,Full-time,False,False,E04991,direct,NovaCorp-Origin,WorkdayHR,29.0,458,False
E00076,Anthony Nelson,1988-04-23,,active,Risk & Compliance,Management,5,General Manager,366900.0,1.05,Male,60+,Maori/Aboriginal & Torres Strait Islander,Full-time,False,True,E09249,referral,NovaCorp-Origin,WorkdayHR,45.0,458,False
E00077,Melissa Abbott,1988-04-24,2024-08-30,departed,Risk & Compliance,Corporate-Support,2,"Manager, Risk & Compliance",132200.0,0.91,Female,60+,Anglo-Australian,Part-time,False,True,E00271,agency,NovaCorp-Origin,WorkdayHR,31.0,442,False
E00078,Mr. William Hayes PhD,1988-04-25,2024-06-28,departed,Insurance,Corporate-Support,3,"Senior Manager, Insurance",182200.0,0.91,Male,60+,Anglo-Australian,Part-time,False,False,E08854,direct,NovaCorp-Origin,WorkdayHR,65.0,440,False
E00079,Adrian Chapman,1988-04-25,,active,Technology,Corporate-Support,2,"Manager, Technology",130400.0,0.9,Male,60+,Anglo-Australian,Full-time,False,False,E12077,agency,NovaCorp-Origin,WorkdayHR,42.0,458,False
E00080,Raymond Mcgee,1988-04-25,,active,Wealth Management,Risk-Compliance,2,"Manager, Wealth Management",125300.0,0.86,Male,55-59,Anglo-Australian,Part-time,False,False,E04045,direct,NovaCorp-Origin,WorkdayHR,58.0,458,False
E00081,Christopher Black,1988-04-25,,active,Technology,Client-Advisory,2,"Manager, Technology",127300.0,0.88,Male,60+,South Asian,Full-time,False,True,E06041,agency,NovaCorp-Origin,WorkdayHR,69.0,458,False
E00082,John Martinez,1988-04-26,2025-03-14,departed,Technology,Management,2,"Manager, Technology",124500.0,0.86,Male,60+,Anglo-Australian,Full-time,False,False,E08751,direct,NovaCorp-Origin,WorkdayHR,28.0,449,False
E00083,Veronica Johnson,1988-04-26,,active,Insurance,Risk-Compliance,2,"Manager, Insurance",122000.0,0.84,Female,55-59,Southeast Asian,Full-time,False,False,E05122,agency,NovaCorp-Origin,WorkdayHR,21.0,458,False
E00084,Alexandra Valdez,1988-04-26,,active,Risk & Compliance,Risk-Compliance,2,"Manager, Risk & Compliance",133200.0,0.92,Female,60+,European (non-Anglo),Part-time,True,False,E03416,referral,NovaCorp-Origin,WorkdayHR,49.0,458,False
E00085,Valerie English,1988-04-28,,active,Wealth Management,Technology,2,"Manager, Wealth Management",116100.0,0.8,Female,60+,Anglo-Australian,Part-time,False,False,E00361,referral,NovaCorp-Origin,WorkdayHR,55.0,458,False
E00086,Stacey Stone,1988-04-28,,active,Corporate Operations,Corporate-Support,2,"Manager, Corporate Operations",129100.0,0.89,Female,60+,Anglo-Australian,Full-time,False,True,E14091,agency,NovaCorp-Origin,WorkdayHR,63.0,458,False
E00087,Paul Graham,1988-04-30,,active,Technology,Risk-Compliance,3,"Senior Manager, Technology",187200.0,0.94,Male,60+,Anglo-Australian,Full-time,False,False,E03648,direct,NovaCorp-Origin,WorkdayHR,29.0,458,False
E00088,Steven Williams,1988-05-01,,active,Retail Banking,Client-Advisory,2,"Manager, Retail Banking",122800.0,0.85,Male,60+,Anglo-Australian,Full-time,False,False,E02795,referral,NovaCorp-Origin,WorkdayHR,61.0,458,False
E00089,Virginia Anderson,1988-05-01,,active,Corporate Operations,Corporate-Support,2,"Manager, Corporate Operations",122000.0,0.84,Female,60+,Middle Eastern,Full-time,False,False,E13308,agency,NovaCorp-Origin,WorkdayHR,33.0,458,False
E00090,Heather Ortega,1988-05-03,,active,Insurance,Operations-Processing,2,"Manager, Insurance",130200.0,0.9,Female,60+,Anglo-Australian,Casual,False,True,E08922,referral,NovaCorp-Origin,WorkdayHR,58.0,458,False
E00091,Casey Le,1988-05-03,,active,Risk & Compliance,Technology,2,"Manager, Risk & Compliance",125000.0,0.86,Female,60+,South Asian,Full-time,False,True,E02408,agency,NovaCorp-Origin,WorkdayHR,62.0,458,False
E00092,Nancy Carroll,1988-05-04,,active,Corporate Operations,Technology,2,"Manager, Corporate Operations",122300.0,0.84,Female,60+,Anglo-Australian,Full-time,False,False,E02974,direct,NovaCorp-Origin,WorkdayHR,34.0,458,False
E00093,Natalie Baxter,1988-05-04,,active,Insurance,Technology,2,"Manager, Insurance",129500.0,0.89,Female,60+,Southeast Asian,Full-time,False,False,E12046,agency,NovaCorp-Origin,WorkdayHR,82.0,458,False
E00094,Sandra Smith,1988-05-05,,active,Retail Banking,Risk-Compliance,3,"Senior Manager, Retail Banking",176900.0,0.88,Female,55-59,Anglo-Australian,Full-time,False,False,E05815,agency,NovaCorp-Origin,WorkdayHR,80.0,458,False
E00095,Richard Wood,1988-05-05,2024-12-22,departed,Wealth Management,Corporate-Support,2,"Manager, Wealth Management",122800.0,0.85,Male,60+,Middle Eastern,Full-time,False,True,E00583,agency,NovaCorp-Origin,WorkdayHR,15.0,446,False
E00096,Adam Rangel,1988-05-07,,active,Corporate Operations,Client-Advisory,5,Managing Director,411500.0,0.97,Male,60+,Prefer not to say,Full-time,True,False,E01760,agency,NovaCorp-Origin,WorkdayHR,62.0,458,False
E00097,Richard Clark,1988-05-07,,active,Retail Banking,Management,2,"Manager, Retail Banking",125700.0,0.87,Male,60+,Anglo-Australian,Full-time,False,True,E08267,direct,NovaCorp-Origin,WorkdayHR,58.0,458,True
E00098,Kristi Campbell,1988-05-08,,active,Risk & Compliance,Operations-Processing,2,"Manager, Risk & Compliance",129600.0,0.89,Female,60+,Anglo-Australian,Part-time,False,True,E12970,referral,NovaCorp-Origin,WorkdayHR,33.0,458,False
E00099,Julie Gray,1988-05-10,2024-09-27,departed,Retail Banking,Risk-Compliance,2,"Manager, Retail Banking",142600.0,0.98,Female,60+,South Asian,Full-time,True,True,E00164,agency,NovaCorp-Origin,WorkdayHR,26.0,442,False
E00100,Keith Ritter,1988-05-15,,active,Technology,Operations-Processing,2,"Manager, Technology",126400.0,0.87,Male,60+,Anglo-Australian,Full-time,False,False,E01773,graduate,NovaCorp-Origin,WorkdayHR,73.0,458,False
E00101,Jessica Norris,1988-05-15,,active,Risk & Compliance,Technology,2,"Manager, Risk & Compliance",119500.0,0.82,Female,60+,African,Full-time,False,False,E01474,direct,NovaCorp-Origin,WorkdayHR,50.0,458,False
E00102,Patrick Smith,1988-05-15,2025-06-18,departed,Risk & Compliance,Technology,3,"Senior Manager, Risk & Compliance",180700.0,0.96,Male,60+,Anglo-Australian,Full-time,False,False,E06617,agency,NovaCorp-Origin,WorkdayHR,72.0,451,False
E00103,Daniel Wheeler,1988-05-18,,active,Wealth Management,Management,2,"Manager, Wealth Management",133200.0,0.92,Male,60+,Southeast Asian,Full-time,True,False,E00919,agency,NovaCorp-Origin,WorkdayHR,51.0,458,False
E00104,Jonathan Castillo,1988-05-22,,active,Insurance,Corporate-Support,3,"Senior Manager, Insurance",188300.0,0.94,Male,60+,East Asian,Full-time,False,False,E06591,direct,NovaCorp-Origin,WorkdayHR,34.0,457,False
E00105,Joseph Smith,1988-05-23,,active,Technology,Technology,2,"Manager, Technology",130100.0,0.9,Male,60+,South Asian,Full-time,False,True,E09981,graduate,NovaCorp-Origin,WorkdayHR,86.0,457,False
E00106,Renee Murphy,1988-05-23,2024-05-31,departed,Retail Banking,Corporate-Support,2,"Manager, Retail Banking",132200.0,0.91,Female,55-59,Anglo-Australian,Fixed-term,False,True,E11480,graduate,NovaCorp-Origin,WorkdayHR,59.0,438,False
E00107,James Simmons,1988-05-26,,active,Technology,Management,3,"Senior Manager, Technology",180800.0,0.9,Male,60+,East Asian,Full-time,False,False,E00817,direct,NovaCorp-Origin,WorkdayHR,20.0,457,False
E00108,Ronald White,1988-05-28,,active,Insurance,Client-Advisory,3,"Senior Manager, Insurance",178200.0,0.89,Male,55-59,Anglo-Australian,Fixed-term,False,True,E12890,agency,NovaCorp-Origin,WorkdayHR,61.0,457,False
E00109,Charles Sanchez,1988-05-30,,active,Retail Banking,Technology,3,"Senior Manager, Retail Banking",178400.0,0.85,Male,60+,Anglo-Australian,Full-time,False,False,E13244,direct,NovaCorp-Origin,WorkdayHR,53.0,457,False
E00110,Tricia Reyes,1988-05-31,,active,Wealth Management,Risk-Compliance,2,"Manager, Wealth Management",116300.0,0.8,Female,60+,Prefer not to say,Full-time,False,False,E09255,direct,NovaCorp-Origin,WorkdayHR,48.0,457,False
E00111,Leah Walters,1988-06-01,,active,Risk & Compliance,Corporate-Support,2,"Manager, Risk & Compliance",125100.0,0.86,Female,60+,East Asian,Part-time,False,False,E13967,acquisition,NovaCorp-Origin,WorkdayHR,14.0,457,False
E00113,Janet Oliver,1988-06-03,,active,Insurance,Risk-Compliance,2,"Manager, Insurance",127300.0,0.88,Female,60+,Anglo-Australian,Full-time,False,False,E06591,direct,NovaCorp-Origin,WorkdayHR,18.0,457,False
E00114,Sheryl Thompson,1988-06-03,,active,Insurance,Management,3,"Senior Manager, Insurance",215900.0,0.96,Female,60+,Anglo-Australian,Full-time,False,False,E00506,referral,NovaCorp-Origin,WorkdayHR,60.0,457,False
E00115,Michael Wang,1988-06-06,2024-03-15,departed,Insurance,Management,2,"Manager, Insurance",137200.0,0.95,Male,55-59,Anglo-Australian,Full-time,False,False,E05469,agency,NovaCorp-Origin,WorkdayHR,25.0,435,False
E00117,Victor Lewis,1988-06-06,,active,Technology,Management,2,"Manager, Technology",123700.0,0.85,Male,55-59,South Asian,Full-time,False,False,E13889,graduate,NovaCorp-Origin,WorkdayHR,67.0,457,False
E00118,Ashley Olson,1988-06-07,,active,Wealth Management,Management,2,"Manager, Wealth Management",120200.0,0.83,Female,55-59,Anglo-Australian,Full-time,False,False,E05799,agency,NovaCorp-Origin,WorkdayHR,17.0,457,False
E00119,Morgan Boone,1988-06-08,,active,Technology,Client-Advisory,3,"Senior Manager, Technology",170300.0,0.85,Non-binary,60+,European (non-Anglo),Full-time,False,True,E04991,acquisition,NovaCorp-Origin,WorkdayHR,56.0,457,False
E00120,Michael Clay,1988-06-10,,active,Retail Banking,Corporate-Support,2,"Manager, Retail Banking",138100.0,0.95,Male,55-59,Anglo-Australian,Full-time,True,False,E12191,agency,NovaCorp-Origin,WorkdayHR,15.0,457,False
E00121,Brian Miller,1988-06-22,,active,Technology,Technology,2,"Manager, Technology",119100.0,0.82,Male,55-59,Anglo-Australian,Full-time,False,False,E06779,referral,NovaCorp-Origin,WorkdayHR,84.0,456,False
E00122,Robert Johnson,1988-06-22,,active,Retail Banking,Corporate-Support,2,"Manager, Retail Banking",117900.0,0.81,Male,55-59,Anglo-Australian,Part-time,False,False,E03533,graduate,NovaCorp-Origin,WorkdayHR,87.0,456,False
E00123,Peter Moore,1988-06-24,,active,Corporate Operations,Operations-Processing,2,"Manager, Corporate Operations",131200.0,0.9,Male,60+,Anglo-Australian,Part-time,False,True,E01919,direct,NovaCorp-Origin,WorkdayHR,62.0,456,False
E00124,Sandra Ellis,1988-06-24,,active,Risk & Compliance,Management,2,"Manager, Risk & Compliance",128300.0,0.88,Female,60+,Southeast Asian,Full-time,False,False,E00948,agency,NovaCorp-Origin,WorkdayHR,74.0,456,False
E00126,Jennifer Bond,1988-06-27,,active,Retail Banking,Operations-Processing,2,"Manager, Retail Banking",136100.0,0.94,Female,55-59,East Asian,Fixed-term,False,False,E08705,agency,NovaCorp-Origin,WorkdayHR,66.0,456,False
E00127,Patrick Hoffman,1988-06-28,,active,Technology,Corporate-Support,2,"Manager, Technology",120700.0,0.83,Male,60+,Anglo-Australian,Full-time,False,False,E05771,referral,NovaCorp-Origin,WorkdayHR,56.0,456,False
E00128,Colin Blake,1988-06-30,,active,Insurance,Corporate-Support,2,"Manager, Insurance",121600.0,0.84,Male,55-59,Anglo-Australian,Full-time,False,False,E14461,direct,NovaCorp-Origin,WorkdayHR,90.0,456,False
